,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5
skb,ind_var5,ind_var8_0,ind_var30,var36,num_meses_var5_ult3
ig,ind_var30,num_meses_var5_ult3,ind_var5_0,ind_var5,saldo_var30
anova,ind_var5,ind_var30,num_var30,num_var42,num_meses_var5_ult3
sfs,var15,imp_op_var39_ult1,saldo_var30,saldo_medio_var5_hace2,var38
etc,var38,var15,saldo_medio_var5_ult3,num_var45_ult3,num_var45_hace3
rf,var38,var15,saldo_medio_var5_ult3,num_var45_ult3,saldo_medio_var5_hace3
rfe,var15,ind_var8_0,num_var42_0,saldo_var30,num_meses_var5_ult3
